DPU 40, Thread 7, Cycles: 544
DPU 40, Thread 8, Cycles: 560
DPU 40, Thread 9, Cycles: 576
DPU 40, Thread 10, Cycles: 576
DPU 40, Thread 11, Cycles: 576
DPU 40, Thread 12, Cycles: 576
DPU 40, Thread 13, Cycles: 576
DPU 40, Thread 14, Cycles: 592
DPU 40, Thread 15, Cycles: 384
DPU 41, Thread 0, Cycles: 576
DPU 41, Thread 1, Cycles: 448
DPU 41, Thread 2, Cycles: 480
DPU 41, Thread 3, Cycles: 464
DPU 41, Thread 4, Cycles: 496
DPU 41, Thread 5, Cycles: 496
DPU 41, Thread 6, Cycles: 512
DPU 41, Thread 7, Cycles: 544
DPU 41, Thread 8, Cycles: 560
DPU 41, Thread 9, Cycles: 576
DPU 41, Thread 10, Cycles: 576
DPU 41, Thread 11, Cycles: 576
DPU 41, Thread 12, Cycles: 576
DPU 41, Thread 13, Cycles: 576
DPU 41, Thread 14, Cycles: 592
DPU 41, Thread 15, Cycles: 384
DPU 42, Thread 0, Cycles: 576
DPU 42, Thread 1, Cycles: 448
DPU 42, Thread 2, Cycles: 480
DPU 42, Thread 3, Cycles: 464
DPU 42, Thread 4, Cycles: 496
DPU 42, Thread 5, Cycles: 496
DPU 42, Thread 6, Cycles: 512
DPU 42, Thread 7, Cycles: 544
DPU 42, Thread 8, Cycles: 560
DPU 42, Thread 9, Cycles: 576
DPU 42, Thread 10, Cycles: 576
DPU 42, Thread 11, Cycles: 576
DPU 42, Thread 12, Cycles: 576
DPU 42, Thread 13, Cycles: 576
DPU 42, Thread 14, Cycles: 592
DPU 42, Thread 15, Cycles: 384
DPU 43, Thread 0, Cycles: 576
DPU 43, Thread 1, Cycles: 448
DPU 43, Thread 2, Cycles: 480
DPU 43, Thread 3, Cycles: 464
DPU 43, Thread 4, Cycles: 496
DPU 43, Thread 5, Cycles: 496
DPU 43, Thread 6, Cycles: 512
DPU 43, Thread 7, Cycles: 544
DPU 43, Thread 8, Cycles: 560
DPU 43, Thread 9, Cycles: 576
DPU 43, Thread 10, Cycles: 576
